session,subjectid,treatment,subject,subgroup,role,trustor,choicea,choiceb,network,firstround1
11,1110,2,10,4,1,1,1,1,0,1
11,1111,2,11,4,1,2,0,0,0,1
11,1115,2,15,5,2,0,NA,NA,0,1
11,1113,2,13,5,1,1,1,1,0,1
11,1114,2,14,5,1,2,1,1,0,1
11,1118,2,18,6,2,0,NA,NA,0,1
11,1116,2,16,6,1,1,1,1,0,1
11,1117,2,17,6,1,2,1,0,0,1
11,1117,3,17,1,2,0,NA,NA,0,0
11,1115,3,15,1,1,1,1,0,0,0
11,1101,3,1,1,1,2,1,1,0,0
11,1102,3,2,2,2,0,NA,NA,0,0
11,1118,3,18,2,1,1,1,1,0,0
11,1104,3,4,2,1,2,1,0,0,0
11,1105,3,5,3,2,0,NA,NA,0,0
11,1103,3,3,3,1,1,1,1,0,0
11,1107,3,7,3,1,2,1,1,0,0
11,1108,3,8,4,2,0,NA,NA,0,0
11,1106,3,6,4,1,1,0,0,0,0
11,1110,3,10,4,1,2,1,1,0,0
11,1111,3,11,5,2,0,NA,NA,0,0
11,1109,3,9,5,1,1,1,0,0,0
11,1113,3,13,5,1,2,1,0,0,0
11,1114,3,14,6,2,0,NA,NA,0,0
11,1112,3,12,6,1,1,1,1,0,0
11,1116,3,16,6,1,2,1,1,0,0
11,1101,4,1,1,2,0,NA,NA,0,0
11,1114,4,14,1,1,1,1,1,0,0
11,1109,4,9,1,1,2,0,0,0,0
11,1104,4,4,2,2,0,NA,NA,0,0
11,1117,4,17,2,1,1,1,1,0,0
11,1112,4,12,2,1,2,1,1,0,0
11,1107,4,7,3,2,0,NA,NA,0,0
11,1102,4,2,3,1,1,1,1,0,0
11,1115,4,15,3,1,2,1,1,0,0
11,1110,4,10,4,2,0,NA,NA,0,0
11,1105,4,5,4,1,1,1,1,0,0
11,1118,4,18,4,1,2,1,1,0,0
11,1113,4,13,5,2,0,NA,NA,0,0
11,1108,4,8,5,1,1,1,1,0,0
11,1103,4,3,5,1,2,1,1,0,0
11,1116,4,16,6,2,0,NA,NA,0,0
11,1111,4,11,6,1,1,0,0,0,0
11,1106,4,6,6,1,2,1,1,0,0
12,1203,2,3,1,2,0,NA,NA,0,1
12,1201,2,1,1,1,1,1,0,0,1
12,1202,2,2,1,1,2,1,0,0,1
12,1206,2,6,2,2,0,NA,NA,0,1
12,1204,2,4,2,1,1,1,1,0,1
12,1205,2,5,2,1,2,0,0,0,1
12,1209,2,9,3,2,0,NA,NA,0,1
12,1207,2,7,3,1,1,0,0,0,1
12,1208,2,8,3,1,2,1,1,0,1
12,1212,2,12,4,2,0,NA,NA,0,1
12,1210,2,10,4,1,1,1,1,0,1
12,1211,2,11,4,1,2,1,1,0,1
12,1215,2,15,5,2,0,NA,NA,0,1
12,1213,2,13,5,1,1,1,0,0,1
12,1214,2,14,5,1,2,1,0,0,1
12,1218,2,18,6,2,0,NA,NA,0,1
12,1216,2,16,6,1,1,1,1,0,1
12,1217,2,17,6,1,2,1,1,0,1
12,1217,3,17,1,2,0,NA,NA,0,0
12,1215,3,15,1,1,1,1,1,0,0
12,1201,3,1,1,1,2,1,1,0,0
12,1202,3,2,2,2,0,NA,NA,0,0
12,1218,3,18,2,1,1,1,1,0,0
12,1204,3,4,2,1,2,1,1,0,0
12,1205,3,5,3,2,0,NA,NA,0,0
12,1203,3,3,3,1,1,0,0,0,0
12,1207,3,7,3,1,2,1,1,0,0
12,1208,3,8,4,2,0,NA,NA,0,0
12,1206,3,6,4,1,1,1,1,0,0
12,1210,3,10,4,1,2,1,1,0,0
12,1211,3,11,5,2,0,NA,NA,0,0
12,1209,3,9,5,1,1,0,0,0,0
12,1213,3,13,5,1,2,1,1,0,0
12,1214,3,14,6,2,0,NA,NA,0,0
12,1212,3,12,6,1,1,1,1,0,0
12,1216,3,16,6,1,2,1,1,0,0
12,1201,4,1,1,2,0,NA,NA,0,0
12,1214,4,14,1,1,1,1,1,0,0
12,1209,4,9,1,1,2,1,1,0,0
12,1204,4,4,2,2,0,NA,NA,0,0
12,1217,4,17,2,1,1,1,1,0,0
12,1212,4,12,2,1,2,1,1,0,0
12,1207,4,7,3,2,0,NA,NA,0,0
12,1202,4,2,3,1,1,1,1,0,0
12,1215,4,15,3,1,2,1,1,0,0
12,1210,4,10,4,2,0,NA,NA,0,0
12,1205,4,5,4,1,1,1,1,0,0
12,1218,4,18,4,1,2,1,1,0,0
12,1213,4,13,5,2,0,NA,NA,0,0
12,1208,4,8,5,1,1,1,1,0,0
12,1203,4,3,5,1,2,1,1,0,0
12,1216,4,16,6,2,0,NA,NA,0,0
12,1211,4,11,6,1,1,1,1,0,0
12,1206,4,6,6,1,2,1,1,0,0
