Type,Session,Subject,Treatment,IDinSession,Invest,Return,Sequence
2,NoMin2,4,2,1204,1,1,9
1,NoMin2,5,2,1205,1,1,9
2,NoMin2,6,2,1206,0,NA,9
1,NoMin2,1,2,1201,1,1,10
2,NoMin2,2,2,1202,1,1,10
1,NoMin2,3,2,1203,1,1,10
2,NoMin2,4,2,1204,1,1,10
2,NoMin2,5,2,1205,1,1,10
1,NoMin2,6,2,1206,1,1,10
1,NoMin2,1,2,1201,1,1,11
2,NoMin2,2,2,1202,1,1,11
2,NoMin2,3,2,1203,1,0,11
2,NoMin2,4,2,1204,1,1,11
1,NoMin2,5,2,1205,1,1,11
1,NoMin2,6,2,1206,1,0,11
1,NoMin2,1,2,1201,1,1,12
2,NoMin2,2,2,1202,1,1,12
2,NoMin2,3,2,1203,1,1,12
2,NoMin2,4,2,1204,1,1,12
1,NoMin2,5,2,1205,1,1,12
1,NoMin2,6,2,1206,1,1,12
1,NoMin2,1,2,1201,1,1,13
2,NoMin2,2,2,1202,1,1,13
2,NoMin2,3,2,1203,1,1,13
2,NoMin2,4,2,1204,1,0,13
1,NoMin2,5,2,1205,1,0,13
1,NoMin2,6,2,1206,1,1,13
1,NoMin3,1,1,1301,1,0,1
1,NoMin3,2,1,1302,0,NA,1
1,NoMin3,3,1,1303,0,NA,1
2,NoMin3,4,1,1304,0,NA,1
2,NoMin3,5,1,1305,0,NA,1
2,NoMin3,6,1,1306,1,0,1
2,NoMin3,1,1,1301,0,NA,2
1,NoMin3,2,1,1302,0,NA,2
2,NoMin3,3,1,1303,1,1,2
1,NoMin3,4,1,1304,1,0,2
2,NoMin3,5,1,1305,1,0,2
1,NoMin3,6,1,1306,1,1,2
1,NoMin3,1,1,1301,0,NA,3
2,NoMin3,2,1,1302,0,NA,3
2,NoMin3,3,1,1303,0,NA,3
1,NoMin3,4,1,1304,0,NA,3
1,NoMin3,5,1,1305,1,1,3
2,NoMin3,6,1,1306,1,1,3
1,NoMin3,1,1,1301,0,NA,4
2,NoMin3,2,1,1302,0,NA,4
2,NoMin3,3,1,1303,1,1,4
2,NoMin3,4,1,1304,0,NA,4
1,NoMin3,5,1,1305,0,NA,4
1,NoMin3,6,1,1306,1,1,4
2,NoMin3,1,1,1301,1,1,5
1,NoMin3,2,1,1302,0,NA,5
2,NoMin3,3,1,1303,1,1,5
1,NoMin3,4,1,1304,1,1,5
1,NoMin3,5,1,1305,1,1,5
2,NoMin3,6,1,1306,0,NA,5
2,NoMin3,1,1,1301,1,1,6
1,NoMin3,2,1,1302,0,NA,6
2,NoMin3,3,1,1303,0,NA,6
2,NoMin3,4,1,1304,1,1,6
1,NoMin3,5,1,1305,1,1,6
1,NoMin3,6,1,1306,1,1,6
1,NoMin3,1,1,1301,1,1,7
2,NoMin3,2,1,1302,1,0,7
1,NoMin3,3,1,1303,1,0,7
2,NoMin3,4,1,1304,1,1,7
1,NoMin3,5,1,1305,1,1,7
2,NoMin3,6,1,1306,1,1,7
1,NoMin3,1,1,1301,1,1,8
1,NoMin3,2,1,1302,0,NA,8
1,NoMin3,3,1,1303,1,1,8
2,NoMin3,4,1,1304,1,1,8
2,NoMin3,5,1,1305,0,NA,8
2,NoMin3,6,1,1306,1,1,8
2,NoMin3,1,2,1301,1,1,9
1,NoMin3,2,2,1302,0,NA,9
1,NoMin3,3,2,1303,1,1,9
2,NoMin3,4,2,1304,1,1,9
