gamma,info,pi,A,Aactive,B,session,eSubj,bad,trust,honor,triad_id
1,0,0.05,2,2,0,3,312,1,1,1,3056
1,0,0.05,0,2,1,3,320,1,1,1,3056
1,0,0.05,1,2,0,3,316,1,1,1,3057
1,0,0.05,2,2,0,3,315,1,1,1,3057
1,0,0.05,0,2,1,3,306,1,1,1,3057
1,0,0.05,1,1,0,3,302,1,0,NA,3061
1,0,0.05,2,1,0,3,321,1,0,NA,3061
1,0,0.05,0,1,1,3,312,1,0,NA,3061
1,0,0.05,1,2,0,3,303,1,1,1,3062
1,0,0.05,2,2,0,3,304,1,1,1,3062
1,0,0.05,0,2,1,3,308,1,1,1,3062
1,0,0.05,1,1,0,3,306,1,1,0,3063
1,0,0.05,2,1,0,3,309,1,1,0,3063
1,0,0.05,0,1,1,3,301,1,1,0,3063
1,0,0.05,1,1,0,3,314,1,0,NA,3064
1,0,0.05,2,1,0,3,310,1,0,NA,3064
1,0,0.05,0,1,1,3,315,1,0,NA,3064
1,0,0.05,1,1,0,3,318,1,1,0,3065
1,0,0.05,2,1,0,3,311,1,1,0,3065
1,0,0.05,0,1,1,3,317,1,1,0,3065
1,0,0.05,1,2,0,3,319,1,1,1,3066
1,0,0.05,2,2,0,3,316,1,1,1,3066
1,0,0.05,0,2,1,3,313,1,1,1,3066
1,0,0.05,1,2,0,3,320,1,1,0,3067
1,0,0.05,2,2,0,3,305,1,1,0,3067
1,0,0.05,0,2,1,3,307,1,1,0,3067
2,1,0.05,1,2,0,3,307,1,1,1,3071
2,1,0.05,2,2,0,3,320,1,1,1,3071
2,1,0.05,0,2,1,3,305,1,1,1,3071
2,1,0.05,1,2,0,3,313,1,1,1,3072
2,1,0.05,2,2,0,3,303,1,1,1,3072
2,1,0.05,0,2,1,3,311,1,1,1,3072
2,1,0.05,1,1,0,3,301,1,0,NA,3073
2,1,0.05,2,1,0,3,306,1,0,NA,3073
2,1,0.05,0,1,1,3,316,1,0,NA,3073
2,1,0.05,1,2,0,3,317,1,0,NA,3074
2,1,0.05,2,2,0,3,319,1,0,NA,3074
2,1,0.05,0,2,1,3,309,1,0,NA,3074
2,1,0.05,1,1,0,3,312,1,1,1,3075
2,1,0.05,2,1,0,3,314,1,1,1,3075
2,1,0.05,0,1,1,3,304,1,1,1,3075
2,1,0.05,1,1,0,3,308,1,0,NA,3076
2,1,0.05,2,1,0,3,302,1,0,NA,3076
2,1,0.05,0,1,1,3,321,1,0,NA,3076
2,1,0.05,1,2,0,3,315,1,1,1,3077
2,1,0.05,2,2,0,3,318,1,1,1,3077
2,1,0.05,0,2,1,3,310,1,1,1,3077
2,1,0.05,1,2,0,3,311,1,1,1,3081
2,1,0.05,2,2,0,3,307,1,1,1,3081
2,1,0.05,0,2,1,3,303,1,1,1,3081
2,1,0.05,1,1,0,3,309,1,1,1,3082
2,1,0.05,2,1,0,3,312,1,1,1,3082
2,1,0.05,0,1,1,3,320,1,1,1,3082
2,1,0.05,1,2,0,3,305,1,1,1,3083
2,1,0.05,2,2,0,3,315,1,1,1,3083
2,1,0.05,0,2,1,3,302,1,1,1,3083
2,1,0.05,1,1,0,3,304,1,1,1,3084
