Cooperate,Reputation,session,id_subj1
1,no,110816_1018,110816_10183
0,no,110816_1018,110816_10186
1,no,110816_1018,110816_101812
0,no,110816_1018,110816_101811
1,no,110816_1018,110816_101810
0,no,110816_1018,110816_10187
1,no,110816_1018,110816_101810
1,no,110816_1018,110816_10188
0,no,110816_1018,110816_10184
0,no,110816_1018,110816_10185
0,no,110816_1018,110816_10181
1,no,110816_1018,110816_10184
1,no,110816_1018,110816_10183
0,no,110816_1018,110816_10182
0,no,110816_1018,110816_10182
0,no,110816_1018,110816_10186
0,no,110816_1018,110816_10181
0,no,110816_1018,110816_10185
0,no,110816_1018,110816_101811
0,no,110816_1018,110816_10189
0,no,110816_1018,110816_10189
0,no,110816_1018,110816_101812
0,no,110816_1018,110816_10187
1,no,110816_1018,110816_10188
1,yes,110816_1313,110816_13132
0,yes,110816_1313,110816_13135
1,yes,110816_1313,110816_131312
1,yes,110816_1313,110816_131311
0,yes,110816_1313,110816_13139
0,yes,110816_1313,110816_131310
0,yes,110816_1313,110816_131310
0,yes,110816_1313,110816_13137
0,yes,110816_1313,110816_13133
0,yes,110816_1313,110816_13131
1,yes,110816_1313,110816_13132
0,yes,110816_1313,110816_13134
0,yes,110816_1313,110816_13136
0,yes,110816_1313,110816_13133
0,yes,110816_1313,110816_13131
0,yes,110816_1313,110816_13136
0,yes,110816_1313,110816_13134
0,yes,110816_1313,110816_13135
1,yes,110816_1313,110816_13138
1,yes,110816_1313,110816_131312
0,yes,110816_1313,110816_13139
0,yes,110816_1313,110816_13137
1,yes,110816_1313,110816_13138
1,yes,110816_1313,110816_131311
0,no,110817_1445,110817_14453
1,no,110817_1445,110817_14455
0,no,110817_1445,110817_14457
0,no,110817_1445,110817_144512
0,no,110817_1445,110817_144512
0,no,110817_1445,110817_14459
1,no,110817_1445,110817_144510
0,no,110817_1445,110817_144511
1,no,110817_1445,110817_14456
1,no,110817_1445,110817_14455
1,no,110817_1445,110817_14454
0,no,110817_1445,110817_14451
0,no,110817_1445,110817_14453
1,no,110817_1445,110817_14456
0,no,110817_1445,110817_14451
0,no,110817_1445,110817_14452
0,no,110817_1445,110817_14452
0,no,110817_1445,110817_14454
1,no,110817_1445,110817_144510
0,no,110817_1445,110817_14458
0,no,110817_1445,110817_14457
0,no,110817_1445,110817_14459
1,no,110817_1445,110817_14458
0,no,110817_1445,110817_144511
0,yes,110819_1451,110819_14512
0,yes,110819_1451,110819_14514
1,yes,110819_1451,110819_14517
0,yes,110819_1451,110819_14518
0,yes,110819_1451,110819_145112
0,yes,110819_1451,110819_14518
0,yes,110819_1451,110819_145111
0,yes,110819_1451,110819_14519
0,yes,110819_1451,110819_14516
0,yes,110819_1451,110819_14511
0,yes,110819_1451,110819_14515
0,yes,110819_1451,110819_14514
0,yes,110819_1451,110819_14513
0,yes,110819_1451,110819_14511
0,yes,110819_1451,110819_14513
0,yes,110819_1451,110819_14516
0,yes,110819_1451,110819_14512
0,yes,110819_1451,110819_14515
0,yes,110819_1451,110819_145110
0,yes,110819_1451,110819_14519
1,yes,110819_1451,110819_145110
0,yes,110819_1451,110819_145111
1,yes,110819_1451,110819_14517
0,yes,110819_1451,110819_145112
0,yes,120919_1448,120919_14484
0,yes,120919_1448,120919_14482
1,yes,120919_1448,120919_14489
0,yes,120919_1448,120919_144812
0,yes,120919_1448,120919_14487
1,yes,120919_1448,120919_14489
0,yes,120919_1448,120919_144810
0,yes,120919_1448,120919_14488
1,yes,120919_1448,120919_14486
0,yes,120919_1448,120919_14481
0,yes,120919_1448,120919_14485
1,yes,120919_1448,120919_14486
0,yes,120919_1448,120919_14485
0,yes,120919_1448,120919_14481
0,yes,120919_1448,120919_14483
0,yes,120919_1448,120919_14484
0,yes,120919_1448,120919_14483
0,yes,120919_1448,120919_14482
0,yes,120919_1448,120919_144811
0,yes,120919_1448,120919_14488
0,yes,120919_1448,120919_14487
0,yes,120919_1448,120919_144812
1,yes,120919_1448,120919_144810
0,yes,120919_1448,120919_144811
1,no,120920_1522,120920_15225
1,no,120920_1522,120920_15223
0,no,120920_1522,120920_15227
0,no,120920_1522,120920_152212
1,no,120920_1522,120920_15228
0,no,120920_1522,120920_15229
1,no,120920_1522,120920_152210
0,no,120920_1522,120920_15228
1,no,120920_1522,120920_15223
0,no,120920_1522,120920_15224
0,no,120920_1522,120920_15222
1,no,120920_1522,120920_15221
0,no,120920_1522,120920_15226
0,no,120920_1522,120920_15222
0,no,120920_1522,120920_15226
1,no,120920_1522,120920_15221
0,no,120920_1522,120920_15224
1,no,120920_1522,120920_15225
0,no,120920_1522,120920_15229
1,no,120920_1522,120920_152210
0,no,120920_1522,120920_152211
0,no,120920_1522,120920_152212
0,no,120920_1522,120920_152211
0,no,120920_1522,120920_15227
